iter	Passed	Remaining
468	710	804
469	711	802
470	712	799
471	713	797
472	713	795
473	714	792
474	715	790
475	716	788
476	717	786
477	719	785
478	720	783
479	721	781
480	722	779
481	723	777
482	724	775
483	725	773
484	726	771
485	727	769
486	731	770
487	732	768
488	733	766
489	733	763
490	735	761
491	736	760
492	737	758
493	738	755
494	738	753
495	739	751
496	740	749
497	742	748
498	745	748
499	746	746
500	747	744
501	748	742
502	749	740
503	750	738
504	750	735
505	751	733
506	754	733
507	755	731
508	756	729
509	757	727
510	758	725
511	759	723
512	759	721
513	760	719
514	761	717
515	762	715
516	763	713
517	764	711
518	765	709
519	766	707
520	767	705
521	769	704
522	771	703
523	771	701
524	772	699
525	773	697
526	774	695
527	775	692
528	778	693
529	779	691
530	780	689
531	781	687
532	782	685
533	783	683
534	784	681
535	785	679
536	786	678
537	788	676
538	789	675
539	790	673
540	791	671
541	792	669
542	792	667
543	793	665
544	794	663
545	795	661
546	796	659
547	796	657
548	797	655
549	798	653
550	803	654
551	804	652
552	805	650
553	806	649
554	807	647
555	808	645
556	808	643
557	809	641
558	810	639
559	811	637
560	812	636
561	814	635
562	815	633
563	816	631
564	817	629
565	818	627
566	819	625
567	820	623
568	821	622
569	822	620
570	823	618
571	828	620
572	829	618
573	830	616
574	831	614
575	832	612
576	833	610
577	834	608
578	835	607
579	837	606
580	838	604
581	839	602
582	840	601
583	842	600
584	843	598
585	844	596
586	845	594
587	849	595
588	850	593
589	851	591
590	852	589
591	852	587
592	853	585
593	854	583
594	855	582
595	855	580
596	856	578
597	857	576
598	858	574
599	860	573
600	861	572
601	862	570
602	863	568
603	864	566
604	865	565
605	866	563
606	867	561
607	867	559
608	868	557
609	869	555
610	873	555
611	874	554
612	875	552
613	876	550
614	877	549
615	878	547
616	878	545
617	879	543
618	880	542
619	881	540
620	882	538
621	883	537
622	885	535
623	886	534
624	887	532
625	888	530
626	889	529
627	890	527
628	891	525
629	891	523
630	893	522
631	897	522
632	898	520
633	899	519
634	900	517
635	901	515
636	902	514
637	902	512
638	903	510
639	904	508
640	906	507
641	907	505
642	908	504
643	909	502
644	910	500
645	910	499
646	911	497
647	912	495
648	913	493
649	913	492
650	914	490
651	915	488
652	916	486
653	917	485
654	922	485
655	923	484
656	924	482
657	925	480
658	925	479
659	926	477
660	927	475
661	928	473
662	928	472
663	930	470
664	931	469
665	933	467
666	934	466
667	934	464
668	936	463
669	938	462
670	939	460
671	940	458
672	941	457
673	943	456
674	944	454
675	945	453
676	946	451
677	947	450
678	948	448
679	949	446
680	950	445
681	951	443
682	952	442
683	953	440
684	955	439
685	956	437
686	957	436
687	958	434
688	959	433
689	960	431
690	961	429
691	962	428
692	963	426
693	964	425
694	968	425
695	969	423
696	970	421
697	971	420
698	972	418
699	973	417
700	974	415
701	975	414
702	976	412
703	978	411
704	980	410
705	981	408
706	982	407
707	983	405
708	984	404
709	985	402
710	986	400
711	987	399
712	988	397
713	995	398
714	996	397
715	998	395
716	999	394
717	999	392
718	1000	391
719	1003	390
720	1005	388
721	1006	387
722	1008	386
723	1009	384
724	1010	383
725	1011	381
726	1012	380
727	1014	379
728	1015	377
729	1017	376
730	1018	374
731	1019	373
732	1020	371
733	1021	370
734	1022	368
735	1024	367
736	1026	366
737	1028	365
738	1029	363
739	1031	362
740	1032	360
741	1033	359
742	1034	357
743	1035	356
744	1036	354
745	1042	354
746	1043	353
747	1044	351
748	1045	350
749	1046	348
750	1047	347
751	1048	345
752	1050	344
753	1052	343
754	1053	341
755	1053	340
756	1054	338
757	1055	337
758	1056	335
759	1057	334
760	1058	332
761	1059	330
762	1066	331
763	1067	329
764	1069	328
765	1070	326
766	1071	325
767	1072	323
768	1075	323
769	1077	321
770	1078	320
771	1079	318
772	1080	317
773	1081	315
774	1082	314
775	1083	312
776	1089	312
777	1090	311
778	1091	309
779	1092	308
780	1093	306
781	1094	305
782	1095	303
783	1096	302
784	1099	301
785	1101	299
786	1102	298
787	1103	296
788	1104	295
789	1105	293
790	1106	292
791	1107	290
792	1108	289
793	1113	289
794	1115	287
795	1116	286
796	1117	284
797	1118	283
798	1119	281
799	1120	280
800	1121	278
801	1122	277
802	1124	275
803	1125	274
804	1127	273
805	1129	271
806	1130	270
807	1132	269
808	1133	267
809	1134	266
810	1135	264
811	1136	263
812	1137	261
813	1138	260
814	1139	258
815	1140	257
816	1141	255
817	1143	254
818	1144	252
819	1145	251
820	1146	249
821	1147	248
822	1148	246
823	1148	245
824	1149	243
825	1150	242
826	1151	240
827	1152	239
828	1153	237
829	1154	236
830	1157	235
831	1159	234
832	1159	232
833	1160	231
834	1161	229
835	1162	228
836	1163	226
837	1164	225
838	1165	223
839	1165	222
840	1166	220
841	1168	219
842	1170	218
843	1171	216
844	1172	215
845	1173	213
846	1174	212
847	1175	210
848	1176	209
849	1176	207
850	1177	206
851	1181	205
852	1183	203
853	1184	202
854	1185	201
855	1186	199
856	1187	198
857	1188	196
858	1188	195
859	1189	193
860	1190	192
861	1191	190
862	1193	189
863	1225	192
864	1226	191
865	1227	189
866	1228	188
867	1229	186
868	1232	185
869	1233	184
870	1234	182
871	1235	181
872	1236	179
873	1237	178
874	1238	176
875	1238	175
876	1239	173
877	1240	172
878	1241	170
879	1242	169
880	1244	168
881	1245	166
882	1246	165
883	1247	163
884	1248	162
885	1249	160
886	1250	159
887	1250	157
888	1251	156
889	1252	154
890	1256	153
891	1257	152
892	1258	150
893	1259	149
894	1259	147
895	1260	146
896	1261	144
897	1262	143
898	1263	141
899	1264	140
900	1266	139
901	1267	137
902	1268	136
903	1269	134
904	1270	133
905	1271	131
906	1272	130
907	1273	129
908	1274	127
909	1274	126
910	1275	124
911	1276	123
912	1280	122
913	1281	120
914	1282	119
915	1283	117
916	1284	116
917	1285	114
918	1286	113
919	1287	111
920	1288	110
921	1289	109
922	1290	107
923	1291	106
924	1292	104
925	1293	103
926	1294	101
927	1295	100
928	1296	99
929	1297	97
930	1298	96
931	1298	94
932	1299	93
933	1300	91
934	1305	90
935	1306	89
936	1307	87
937	1308	86
938	1309	85
939	1309	83
940	1310	82
941	1311	80
942	1312	79
943	1313	77
944	1314	76
945	1316	75
946	1317	73
947	1317	72
948	1319	70
949	1320	69
950	1321	68
951	1321	66
952	1323	65
953	1324	63
954	1325	62
955	1326	61
956	1327	59
957	1328	58
958	1329	56
959	1330	55
960	1331	54
961	1331	52
962	1332	51
963	1333	49
964	1334	48
965	1334	46
966	1335	45
967	1337	44
968	1338	42
969	1339	41
970	1340	40
971	1341	38
972	1342	37
973	1343	35
974	1344	34
975	1345	33
976	1345	31
977	1346	30
978	1347	28
